,r,fc
0,0.0000,1.0
0,0.0020,1.0
0,0.0040,1.0
0,0.0060,1.0
0,0.0080,1.0
0,0.0100,0.0
0,0.0120,1.0
0,0.0140,1.0
0,0.0160,0.0
0,0.0180,0.0
0,0.0200,0.0
0,0.0220,1.0
0,0.0240,0.0
0,0.0260,0.0
0,0.0280,0.0
0,0.0300,0.0
0,0.0320,1.0
0,0.0340,0.0
0,0.0360,0.0
0,0.0380,0.0
0,0.0400,1.0
0,0.0420,0.0
0,0.0440,1.0
0,0.0460,1.0
0,0.0480,0.0
0,0.0500,0.0
0,0.0520,0.0
0,0.0540,1.0
0,0.0560,1.0
0,0.0580,0.0
0,0.0600,0.0
0,0.0620,0.0
0,0.0640,0.0
0,0.0660,0.0
0,0.0680,0.0
0,0.0700,0.0
0,0.0720,0.0
0,0.0740,0.0
0,0.0760,0.0
0,0.0780,0.0
0,0.0800,0.0
0,0.0820,0.0
0,0.0840,0.0
0,0.0860,0.0
0,0.0880,1.0
0,0.0900,0.0
0,0.0920,0.0
0,0.0940,0.0
0,0.0960,0.0
0,0.0980,0.0
0,0.1000,0.0
0,0.1020,0.0
0,0.1040,0.0
0,0.1060,0.0
0,0.1080,0.0
0,0.1100,0.0
0,0.1120,0.0
0,0.1140,0.0
0,0.1160,0.0
0,0.1180,0.0
0,0.1200,0.0
0,0.1220,0.0
0,0.1240,0.0
0,0.1260,0.0
0,0.1280,0.0
0,0.1300,0.0
0,0.1320,0.0
0,0.1340,0.0
0,0.1360,0.0
0,0.1380,0.0
0,0.1400,0.0
0,0.1420,0.0
0,0.1440,0.0
0,0.1460,0.0
0,0.1480,0.0
0,0.1500,0.0
0,0.1520,0.0
0,0.1540,0.0
0,0.1560,0.0
0,0.1580,0.0
0,0.1600,0.0
0,0.1620,0.0
0,0.1640,0.0
0,0.1660,0.0
0,0.1680,0.0
0,0.1700,0.0
0,0.1720,0.0
0,0.1740,0.0
0,0.1760,0.0
0,0.1780,0.0
0,0.1800,0.0
0,0.1820,0.0
0,0.1840,0.0
0,0.1860,0.0
0,0.1880,0.0
0,0.1900,0.0
0,0.1920,0.0
0,0.1940,0.0
0,0.1960,0.0
0,0.1980,0.0
0,0.2000,0.0
0,0.2020,0.0
0,0.2040,0.0
0,0.2060,0.0
0,0.2080,0.0
0,0.2100,0.0
0,0.2120,0.0
0,0.2140,0.0
0,0.2160,0.0
0,0.2180,0.0
0,0.2200,0.0
0,0.2220,0.0
0,0.2240,0.0
0,0.2260,0.0
0,0.2280,0.0
0,0.2300,0.0
0,0.2320,0.0
0,0.2340,0.0
0,0.2360,0.0
0,0.2380,0.0
0,0.2400,0.0
0,0.2420,0.0
0,0.2440,0.0
0,0.2460,0.0
0,0.2480,0.0
0,0.2500,0.0
0,0.2520,0.0
0,0.2540,0.0
0,0.2560,0.0
0,0.2580,0.0
0,0.2600,0.0
0,0.2620,0.0
0,0.2640,0.0
0,0.2660,0.0
0,0.2680,0.0
0,0.2700,0.0
0,0.2720,0.0
0,0.2740,0.0
0,0.2760,0.0
0,0.2780,0.0
0,0.2800,0.0
0,0.2820,0.0
0,0.2840,0.0
0,0.2860,0.0
0,0.2880,0.0
0,0.2900,0.0
0,0.2920,0.0
0,0.2940,0.0
0,0.2960,0.0
0,0.2980,0.0
