,r,fc
0,0.0000,0.0
0,0.0100,1.0
0,0.0200,1.0
0,0.0300,1.0
0,0.0400,1.0
0,0.0500,1.0
0,0.0600,1.0
0,0.0700,1.0
0,0.0800,1.0
0,0.0900,1.0
0,0.1000,1.0
0,0.1100,1.0
0,0.1200,1.0
0,0.1300,1.0
0,0.1400,1.0
0,0.1500,0.0
0,0.1600,1.0
0,0.1700,1.0
0,0.1800,1.0
0,0.1900,1.0
0,0.2000,1.0
0,0.2100,1.0
0,0.2200,1.0
0,0.2300,1.0
0,0.2400,1.0
0,0.2500,1.0
0,0.2600,1.0
0,0.2700,1.0
0,0.2800,1.0
0,0.2900,1.0
0,0.3000,1.0
0,0.3100,1.0
0,0.3200,1.0
0,0.3300,1.0
0,0.3400,1.0
0,0.3500,1.0
0,0.3600,1.0
0,0.3700,1.0
0,0.3800,1.0
0,0.3900,1.0
0,0.4000,1.0
0,0.4100,1.0
0,0.4200,0.0
0,0.4300,1.0
0,0.4400,1.0
0,0.4500,0.0
0,0.4600,1.0
0,0.4700,1.0
0,0.4800,1.0
0,0.4900,1.0
0,0.5000,0.0
0,0.5100,1.0
0,0.5200,1.0
0,0.5300,1.0
0,0.5400,1.0
0,0.5500,1.0
0,0.5600,1.0
0,0.5700,1.0
0,0.5800,1.0
0,0.5900,1.0
0,0.6000,1.0
0,0.6100,1.0
0,0.6200,1.0
0,0.6300,1.0
0,0.6400,1.0
0,0.6500,0.0
0,0.6600,1.0
0,0.6700,1.0
0,0.6800,1.0
0,0.6900,1.0
0,0.7000,1.0
0,0.7100,1.0
0,0.7200,0.0
0,0.7300,1.0
0,0.7400,1.0
0,0.7500,1.0
0,0.7600,1.0
0,0.7700,1.0
0,0.7800,1.0
0,0.7900,0.0
0,0.8000,1.0
0,0.8100,1.0
0,0.8200,1.0
0,0.8300,1.0
0,0.8400,1.0
0,0.8500,1.0
0,0.8600,1.0
0,0.8700,1.0
0,0.8800,1.0
0,0.8900,1.0
0,0.9000,1.0
0,0.9100,1.0
0,0.9200,1.0
0,0.9300,1.0
0,0.9400,0.0
0,0.9500,1.0
0,0.9600,1.0
0,0.9700,1.0
0,0.9800,1.0
0,0.9900,1.0
0,1.0000,1.0
0,1.0100,1.0
0,1.0200,0.0
0,1.0300,1.0
0,1.0400,1.0
0,1.0500,1.0
0,1.0600,1.0
0,1.0700,1.0
0,1.0800,0.0
0,1.0900,1.0
0,1.1000,1.0
0,1.1100,1.0
0,1.1200,1.0
0,1.1300,0.0
0,1.1400,1.0
0,1.1500,1.0
0,1.1600,0.0
0,1.1700,0.0
0,1.1800,0.0
0,1.1900,1.0
0,1.2000,0.0
0,1.2100,1.0
0,1.2200,1.0
0,1.2300,1.0
0,1.2400,0.0
0,1.2500,1.0
0,1.2600,0.0
0,1.2700,0.0
0,1.2800,1.0
0,1.2900,1.0
0,1.3000,1.0
0,1.3100,0.0
0,1.3200,1.0
0,1.3300,0.0
